mem: 1324621297743, val: 0
mem: 1324621297742, val: 0
mem: 1324621297741, val: 0
mem: 1324621297740, val: 0
mem: 1324621297739, val: 0
mem: 1324621297738, val: 0
mem: 1324621297737, val: 0
mem: 1324621297736, val: 0
mem: 1324621297735, val: 0
mem: 1324621297734, val: 0
mem: 1324621297733, val: 127
mem: 1324621297732, val: 246
mem: 1324621297731, val: 245
mem: 1324621297730, val: 216
mem: 1324621297729, val: 32
mem: 1324621297728, val: 96
mem: 1324621297727, val: 0
mem: 1324621297726, val: 0
mem: 1324621297725, val: 0
mem: 1324621297724, val: 0
mem: 1324621297723, val: 0
mem: 1324621297722, val: 0
mem: 1324621297721, val: 0
mem: 1324621297720, val: 0
mem: 1324621297719, val: 0
mem: 1324621297718, val: 0
mem: 1324621297717, val: 0
mem: 1324621297716, val: 0
mem: 1324621297715, val: 0
mem: 1324621297714, val: 0
mem: 1324621297713, val: 0
mem: 1324621297712, val: 0
mem: 1324621297711, val: 0
mem: 1324621297710, val: 0
mem: 1324621297709, val: 0
mem: 1324621297708, val: 0
mem: 1324621297707, val: 0
mem: 1324621297706, val: 0
mem: 1324621297705, val: 0
mem: 1324621297704, val: 0
mem: 1324621297703, val: 0
mem: 1324621297702, val: 0
mem: 1324621297701, val: 0
mem: 1324621297700, val: 0
mem: 1324621297699, val: 0
mem: 1324621297698, val: 0
mem: 1324621297697, val: 0
mem: 1324621297696, val: 0
mem: 1324621297695, val: 0
mem: 1324621297694, val: 0
mem: 1324621297693, val: 0
mem: 1324621297692, val: 0
mem: 1324621297691, val: 0
mem: 1324621297690, val: 0
mem: 1324621297689, val: 0
mem: 1324621297688, val: 0
mem: 1324621297687, val: 0
mem: 1324621297686, val: 0
mem: 1324621297685, val: 0
mem: 1324621297684, val: 0
mem: 1324621297683, val: 0
mem: 1324621297682, val: 0
mem: 1324621297681, val: 0
mem: 1324621297680, val: 0
mem: 1324621297679, val: 0
mem: 1324621297678, val: 0
mem: 1324621297677, val: 0
mem: 1324621297676, val: 0
mem: 1324621297675, val: 0
mem: 1324621297674, val: 0
mem: 1324621297673, val: 0
mem: 1324621297672, val: 0
mem: 1324621297671, val: 0
mem: 1324621297670, val: 0
mem: 1324621297669, val: 0
mem: 1324621297668, val: 0
mem: 1324621297667, val: 0
mem: 1324621297666, val: 0
mem: 1324621297665, val: 0
mem: 1324621297664, val: 0
mem: 1324621297663, val: 0
mem: 1324621297662, val: 0
mem: 1324621297661, val: 0
mem: 1324621297660, val: 0
mem: 1324621297659, val: 0
mem: 1324621297658, val: 0
mem: 1324621297657, val: 0
mem: 1324621297656, val: 0
mem: 1324621297655, val: 0
mem: 1324621297654, val: 0
mem: 1324621297653, val: 0
mem: 1324621297652, val: 0
mem: 1324621297651, val: 0
mem: 1324621297650, val: 0
mem: 1324621297649, val: 0
mem: 1324621297648, val: 0
mem: 1324621297647, val: 0
mem: 1324621297646, val: 0
mem: 1324621297645, val: 0
mem: 1324621297644, val: 0
mem: 1324621297643, val: 0
mem: 1324621297642, val: 0
mem: 1324621297641, val: 0
mem: 1324621297640, val: 0
mem: 1324621297639, val: 0
mem: 1324621297638, val: 0
mem: 1324621297637, val: 0
mem: 1324621297636, val: 0
mem: 1324621297635, val: 0
mem: 1324621297634, val: 0
mem: 1324621297633, val: 0
mem: 1324621297632, val: 0
mem: 1324621297631, val: 0
mem: 1324621297630, val: 0
mem: 1324621297629, val: 0
mem: 1324621297628, val: 0
mem: 1324621297627, val: 0
mem: 1324621297626, val: 0
mem: 1324621297625, val: 0
mem: 1324621297624, val: 0
mem: 1324621297623, val: 0
mem: 1324621297622, val: 0
mem: 1324621297621, val: 0
mem: 1324621297620, val: 0
mem: 1324621297619, val: 0
mem: 1324621297618, val: 0
mem: 1324621297617, val: 0
mem: 1324621297616, val: 0
mem: 1324621297615, val: 0
mem: 1324621297614, val: 0
mem: 1324621297613, val: 0
mem: 1324621297612, val: 0
mem: 1324621297611, val: 0
mem: 1324621297610, val: 0
mem: 1324621297609, val: 0
mem: 1324621297608, val: 0
mem: 1324621297607, val: 0
mem: 1324621297606, val: 0
mem: 1324621297605, val: 0
mem: 1324621297604, val: 0
mem: 1324621297603, val: 0
mem: 1324621297602, val: 0
mem: 1324621297601, val: 0
mem: 1324621297600, val: 0
mem: 1324621297599, val: 0
mem: 1324621297598, val: 0
mem: 1324621297597, val: 0
mem: 1324621297596, val: 0
mem: 1324621297595, val: 0
mem: 1324621297594, val: 0
mem: 1324621297593, val: 0
mem: 1324621297592, val: 0
mem: 1324621297591, val: 0
mem: 1324621297590, val: 0
mem: 1324621297589, val: 0
mem: 1324621297588, val: 0
mem: 1324621297587, val: 0
mem: 1324621297586, val: 0
mem: 1324621297585, val: 0
mem: 1324621297584, val: 0
mem: 1324621297583, val: 0
mem: 1324621297582, val: 0
mem: 1324621297581, val: 0
mem: 1324621297580, val: 0
mem: 1324621297579, val: 0
mem: 1324621297578, val: 0
mem: 1324621297577, val: 0
mem: 1324621297576, val: 0
mem: 1324621297575, val: 0
mem: 1324621297574, val: 0
mem: 1324621297573, val: 0
mem: 1324621297572, val: 0
mem: 1324621297571, val: 0
mem: 1324621297570, val: 0
mem: 1324621297569, val: 0
mem: 1324621297568, val: 0
mem: 1324621297567, val: 0
mem: 1324621297566, val: 0
mem: 1324621297565, val: 0
mem: 1324621297564, val: 0
mem: 1324621297563, val: 0
mem: 1324621297562, val: 0
mem: 1324621297561, val: 0
mem: 1324621297560, val: 0
mem: 1324621297559, val: 0
mem: 1324621297558, val: 0
mem: 1324621297557, val: 0
mem: 1324621297556, val: 0
mem: 1324621297555, val: 0
